AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Harish,68,Female,A000001
2,2,Yashwanth,55,Male,A000002
3,3,Rohit,71,Male,A000003
4,4,Vikram,63,Male,A000004
5,5,Chandru,52,Male,A000005
6,6,Dinesh,21,Male,A000006
7,7,Rohit,58,Male,A000007
8,8,Rahul,66,Male,A000008
9,9,Manoj,54,Male,A000009
10,10,Yashwanth,24,Male,A000010
11,11,Arun,68,Male,A000011
12,12,Ramesh,59,Female,A000012
13,13,Manoj,61,Male,A000013
14,14,Rahul,72,Female,A000014
15,15,Ganesh,36,Male,A000015
16,16,Chandru,34,Female,A000016
17,17,Suresh,54,Male,A000017
18,18,Bharath,72,Male,A000018
19,19,Ganesh,52,Male,A000019
20,20,Chandru,65,Male,A000020
21,21,Imran,72,Male,A000021
22,22,Rahul,71,Male,A000022
23,23,Arun,30,Male,A000023
24,24,Arun,24,Male,A000024
25,25,Dinesh,22,Female,A000025
26,26,Bharath,34,Male,A000026
27,27,Vijay,25,Male,A000027
28,28,Suresh,46,Female,A000028
29,29,Yashwanth,62,Male,A000029
30,30,Vijay,64,Male,A000030
31,31,Ganesh,54,Male,A000031
32,32,Arun,62,Other,A000032
33,33,Bharath,36,Male,A000033
34,34,Chandru,46,Female,A000034
35,35,Imran,18,Male,A000035
36,36,Sanjay,44,Female,A000036
37,37,Prakash,45,Female,A000037
38,38,Vijay,74,Male,A000038
39,39,Sanjay,24,Male,A000039
40,40,Prakash,22,Female,A000040
41,41,Yashwanth,62,Male,A000041
42,42,Rahul,32,Male,A000042
43,43,Karthik,39,Male,A000043
44,44,Chandru,21,Male,A000044
45,45,Naveen,29,Male,A000045
46,46,Ramesh,59,Male,A000046
47,47,Ganesh,38,Male,A000047
48,48,Yashwanth,49,Male,A000048
49,49,Suresh,49,Male,A000049
50,50,Suresh,35,Female,A000050
51,51,Prakash,21,Female,A000051
52,52,Bharath,66,Other,A000052
53,53,Chandru,60,Male,A000053
54,54,Ganesh,33,Male,A000054
55,55,Ganesh,37,Female,A000055
56,56,Arun,59,Male,A000056
57,57,Vijay,73,Male,A000057
58,58,Yashwanth,51,Male,A000058
59,59,Vikram,36,Female,A000059
60,60,Vijay,68,Male,A000060
61,61,Yashwanth,74,Male,A000061
62,62,Chandru,21,Male,A000062
63,63,Yashwanth,70,Male,A000063
64,64,Yashwanth,59,Female,A000064
65,65,Yashwanth,21,Male,A000065
66,66,Suresh,69,Male,A000066
67,67,Ganesh,30,Male,A000067
68,68,Sanjay,41,Male,A000068
69,69,Rahul,42,Male,A000069
70,70,Sanjay,73,Male,A000070
71,71,Sanjay,41,Male,A000071
72,72,Naveen,51,Other,A000072
73,73,Yashwanth,47,Male,A000073
74,74,Vijay,40,Female,A000074
75,75,Vikram,44,Male,A000075
76,76,Vijay,34,Female,A000076
77,77,Yashwanth,72,Male,A000077
78,78,Chandru,32,Male,A000078
79,79,Imran,58,Male,A000079
80,80,Yashwanth,34,Female,A000080
81,81,Naveen,71,Male,A000081
82,82,Suresh,65,Male,A000082
83,83,Naveen,27,Female,A000083
84,84,Ganesh,69,Male,A000084
85,85,Vikram,23,Male,A000085
86,86,Manoj,24,Female,A000086
87,87,Bharath,62,Male,A000087
88,88,Yashwanth,19,Female,A000088
89,89,Manoj,57,Male,A000089
90,90,Sanjay,58,Male,A000090
91,91,Rohit,57,Male,A000091
92,92,Manoj,69,Male,A000092
93,93,Shankar,40,Male,A000093
94,94,Karthik,39,Male,A000094
95,95,Dinesh,72,Female,A000095
96,96,Manoj,64,Male,A000096
97,97,Yashwanth,59,Female,A000097
98,98,Prakash,55,Female,A000098
99,99,Dinesh,62,Male,A000099
100,100,Yashwanth,29,Male,A000100
101,101,Shankar,18,Female,A000101
102,102,Manoj,18,Male,A000102
103,103,Manoj,54,Male,A000103
104,104,Dinesh,23,Male,A000104
105,105,Harish,25,Male,A000105
106,106,Vijay,46,Female,A000106
107,107,Rohit,75,Male,A000107
108,108,Vijay,54,Male,A000108
109,109,Ganesh,51,Male,A000109
110,110,Rahul,43,Male,A000110
111,111,Naveen,66,Male,A000111
112,112,Harish,67,Male,A000112
113,113,Arun,19,Male,A000113
114,114,Suresh,37,Male,A000114
115,115,Suresh,36,Male,A000115
116,116,Chandru,44,Male,A000116
117,117,Vijay,23,Male,A000117
118,118,Dinesh,22,Male,A000118
119,119,Imran,45,Male,A000119
120,120,Shankar,68,Male,A000120
121,121,Rahul,36,Male,A000121
122,122,Sanjay,34,Female,A000122
123,123,Arun,21,Female,A000123
124,124,Rohit,68,Male,A000124
125,125,Yashwanth,18,Male,A000125
126,126,Sanjay,47,Male,A000126
127,127,Suresh,36,Female,A000127
128,128,Vikram,32,Male,A000128
129,129,Arun,53,Other,A000129
130,130,Karthik,31,Male,A000130
131,131,Yashwanth,36,Male,A000131
132,132,Karthik,60,Male,A000132
133,133,Karthik,75,Male,A000133
134,134,Rahul,41,Male,A000134
135,135,Rahul,63,Female,A000135
136,136,Prakash,43,Male,A000136
137,137,Bharath,39,Male,A000137
138,138,Suresh,32,Male,A000138
139,139,Rohit,33,Female,A000139
140,140,Suresh,74,Male,A000140
141,141,Ganesh,67,Male,A000141
142,142,Chandru,36,Male,A000142
143,143,Dinesh,70,Male,A000143
144,144,Prakash,75,Male,A000144
145,145,Chandru,48,Male,A000145
146,146,Yashwanth,49,Male,A000146
147,147,Suresh,47,Female,A000147
148,148,Ramesh,40,Male,A000148
149,149,Vikram,22,Other,A000149
150,150,Manoj,52,Male,A000150
151,151,Chandru,39,Male,A000151
152,152,Naveen,67,Male,A000152
153,153,Suresh,36,Male,A000153
154,154,Imran,32,Female,A000154
155,155,Chandru,71,Male,A000155
156,156,Yashwanth,58,Male,A000156
157,157,Shankar,47,Female,A000157
158,158,Arun,55,Male,A000158
159,159,Arun,64,Male,A000159
160,160,Ganesh,73,Male,A000160
161,161,Dinesh,31,Male,A000161
162,162,Rahul,29,Male,A000162
163,163,Suresh,19,Male,A000163
164,164,Yashwanth,43,Male,A000164
165,165,Arun,44,Male,A000165
166,166,Suresh,63,Other,A000166
167,167,Yashwanth,56,Male,A000167
168,168,Imran,21,Female,A000168
169,169,Manoj,38,Male,A000169
170,170,Shankar,66,Male,A000170
171,171,Rohit,55,Male,A000171
172,172,Harish,53,Male,A000172
173,173,Imran,71,Male,A000173
174,174,Vikram,39,Male,A000174
175,175,Yashwanth,21,Male,A000175
176,176,Vijay,62,Male,A000176
177,177,Bharath,30,Female,A000177
178,178,Imran,35,Male,A000178
179,179,Suresh,58,Male,A000179
180,180,Vijay,21,Male,A000180
181,181,Imran,42,Female,A000181
182,182,Bharath,33,Female,A000182
183,183,Ramesh,44,Male,A000183
184,184,Shankar,39,Male,A000184
185,185,Shankar,41,Male,A000185
186,186,Naveen,21,Male,A000186
187,187,Vikram,30,Male,A000187
188,188,Yashwanth,32,Male,A000188
189,189,Naveen,52,Male,A000189
190,190,Bharath,30,Female,A000190
191,191,Vijay,24,Female,A000191
192,192,Rahul,33,Male,A000192
193,193,Yashwanth,43,Male,A000193
194,194,Arun,58,Male,A000194
195,195,Harish,40,Male,A000195
196,196,Rohit,73,Male,A000196
197,197,Ramesh,30,Other,A000197
198,198,Naveen,55,Female,A000198
199,199,Vijay,49,Male,A000199
200,200,Karthik,21,Male,A000200
201,201,Rahul,50,Male,A000201
202,202,Shankar,58,Female,A000202
203,203,Vikram,65,Male,A000203
204,204,Bharath,27,Male,A000204
205,205,Vikram,35,Male,A000205
206,206,Sanjay,48,Male,A000206
207,207,Yashwanth,24,Male,A000207
208,208,Naveen,64,Male,A000208
209,209,Vikram,47,Female,A000209
210,210,Vijay,44,Male,A000210
211,211,Harish,53,Female,A000211
212,212,Naveen,51,Female,A000212
213,213,Suresh,62,Male,A000213
214,214,Rohit,36,Male,A000214
215,215,Imran,43,Male,A000215
216,216,Bharath,53,Female,A000216
217,217,Rohit,61,Male,A000217
218,218,Dinesh,55,Male,A000218
219,219,Ramesh,37,Male,A000219
220,220,Ramesh,41,Other,A000220
221,221,Bharath,46,Male,A000221
222,222,Naveen,67,Male,A000222
223,223,Vikram,31,Male,A000223
224,224,Naveen,70,Female,A000224
225,225,Arun,62,Male,A000225
226,226,Harish,54,Male,A000226
227,227,Vijay,41,Male,A000227
228,228,Manoj,42,Male,A000228
229,229,Shankar,60,Female,A000229
230,230,Naveen,24,Male,A000230
231,231,Prakash,69,Male,A000231
232,232,Sanjay,71,Male,A000232
233,233,Karthik,48,Female,A000233
234,234,Imran,66,Male,A000234
235,235,Suresh,28,Male,A000235
236,236,Shankar,20,Male,A000236
237,237,Manoj,61,Male,A000237
238,238,Shankar,45,Male,A000238
239,239,Yashwanth,59,Male,A000239
240,240,Ganesh,66,Other,A000240
241,241,Harish,46,Male,A000241
242,242,Ganesh,30,Male,A000242
243,243,Bharath,42,Male,A000243
244,244,Manoj,35,Male,A000244
245,245,Vijay,46,Male,A000245
246,246,Shankar,32,Male,A000246
247,247,Dinesh,29,Male,A000247
248,248,Vijay,45,Male,A000248
249,249,Yashwanth,64,Female,A000249
250,250,Yashwanth,27,Male,A000250
251,251,Bharath,61,Male,A000251
252,252,Chandru,67,Male,A000252
253,253,Karthik,27,Male,A000253
254,254,Rahul,30,Male,A000254
255,255,Sanjay,63,Male,A000255
256,256,Rohit,30,Female,A000256
257,257,Manoj,27,Male,A000257
258,258,Sanjay,21,Male,A000258
259,259,Vijay,21,Female,A000259
260,260,Yashwanth,18,Male,A000260
261,261,Ganesh,57,Male,A000261
262,262,Harish,40,Male,A000262
263,263,Vikram,61,Female,A000263
264,264,Rohit,24,Male,A000264
265,265,Manoj,25,Male,A000265
266,266,Ramesh,43,Male,A000266
267,267,Karthik,28,Male,A000267
268,268,Rahul,28,Male,A000268
269,269,Ramesh,50,Male,A000269
270,270,Sanjay,71,Male,A000270
271,271,Vijay,61,Female,A000271
272,272,Chandru,18,Male,A000272
273,273,Dinesh,33,Male,A000273
274,274,Shankar,43,Male,A000274
275,275,Manoj,71,Female,A000275
276,276,Dinesh,53,Male,A000276
277,277,Imran,70,Female,A000277
278,278,Rahul,60,Male,A000278
279,279,Bharath,20,Male,A000279
280,280,Karthik,31,Male,A000280
281,281,Rohit,61,Male,A000281
282,282,Naveen,27,Male,A000282
283,283,Arun,74,Male,A000283
284,284,Arun,64,Male,A000284
285,285,Arun,38,Male,A000285
286,286,Chandru,74,Male,A000286
287,287,Chandru,23,Male,A000287
288,288,Manoj,43,Male,A000288
289,289,Chandru,20,Male,A000289
290,290,Sanjay,51,Male,A000290
291,291,Vikram,52,Female,A000291
292,292,Ramesh,73,Male,A000292
293,293,Rohit,42,Male,A000293
294,294,Chandru,65,Female,A000294
295,295,Ganesh,21,Male,A000295
296,296,Rohit,22,Male,A000296
297,297,Harish,29,Female,A000297
298,298,Vikram,45,Male,A000298
299,299,Arun,30,Male,A000299
300,300,Bharath,67,Male,A000300
301,301,Vijay,28,Male,A000301
302,302,Ramesh,54,Male,A000302
303,303,Ganesh,60,Male,A000303
304,304,Vikram,72,Female,A000304
305,305,Dinesh,36,Male,A000305
306,306,Rahul,68,Female,A000306
307,307,Harish,41,Female,A000307
308,308,Prakash,65,Male,A000308
309,309,Prakash,18,Male,A000309
310,310,Shankar,58,Female,A000310
311,311,Yashwanth,53,Male,A000311
312,312,Manoj,64,Male,A000312
313,313,Ramesh,42,Male,A000313
314,314,Rohit,34,Male,A000314
315,315,Vikram,37,Female,A000315
316,316,Arun,19,Male,A000316
317,317,Chandru,36,Male,A000317
318,318,Ganesh,54,Male,A000318
319,319,Vijay,59,Male,A000319
320,320,Arun,49,Male,A000320
321,321,Rahul,70,Female,A000321
322,322,Suresh,57,Male,A000322
323,323,Arun,24,Male,A000323
324,324,Yashwanth,26,Male,A000324
325,325,Rohit,51,Male,A000325
326,326,Dinesh,59,Male,A000326
327,327,Vikram,35,Female,A000327
328,328,Arun,27,Male,A000328
329,329,Harish,22,Male,A000329
330,330,Shankar,56,Male,A000330
331,331,Chandru,51,Male,A000331
332,332,Yashwanth,46,Male,A000332
333,333,Suresh,69,Male,A000333
334,334,Naveen,46,Female,A000334
335,335,Karthik,38,Male,A000335
336,336,Sanjay,74,Other,A000336
337,337,Sanjay,19,Female,A000337
338,338,Naveen,34,Male,A000338
339,339,Ramesh,67,Female,A000339
340,340,Rohit,33,Male,A000340
341,341,Dinesh,26,Female,A000341
342,342,Dinesh,69,Male,A000342
343,343,Vikram,55,Male,A000343
344,344,Sanjay,32,Male,A000344
345,345,Sanjay,33,Male,A000345
346,346,Dinesh,57,Male,A000346
347,347,Naveen,41,Male,A000347
348,348,Rohit,70,Male,A000348
349,349,Imran,26,Male,A000349
350,350,Rahul,52,Male,A000350
351,351,Chandru,28,Female,A000351
352,352,Rahul,27,Male,A000352
353,353,Rahul,21,Male,A000353
354,354,Manoj,23,Male,A000354
355,355,Karthik,61,Male,A000355
356,356,Prakash,42,Male,A000356
357,357,Vikram,46,Male,A000357
358,358,Rohit,55,Male,A000358
359,359,Naveen,27,Female,A000359
360,360,Rohit,30,Male,A000360
361,361,Harish,27,Male,A000361
362,362,Imran,67,Male,A000362
363,363,Naveen,56,Male,A000363
364,364,Ramesh,43,Male,A000364
365,365,Imran,74,Female,A000365
366,366,Shankar,34,Male,A000366
367,367,Yashwanth,30,Male,A000367
368,368,Arun,57,Male,A000368
369,369,Imran,73,Male,A000369
370,370,Dinesh,19,Male,A000370
371,371,Dinesh,45,Male,A000371
372,372,Imran,37,Male,A000372
373,373,Ganesh,54,Male,A000373
374,374,Bharath,44,Male,A000374
375,375,Ramesh,44,Male,A000375
376,376,Ramesh,25,Male,A000376
377,377,Suresh,69,Male,A000377
378,378,Imran,49,Male,A000378
379,379,Vikram,75,Male,A000379
380,380,Manoj,28,Male,A000380
381,381,Prakash,45,Female,A000381
382,382,Imran,62,Male,A000382
383,383,Manoj,50,Male,A000383
384,384,Yashwanth,40,Male,A000384
385,385,Chandru,56,Male,A000385
386,386,Vijay,38,Male,A000386
387,387,Imran,50,Male,A000387
388,388,Shankar,23,Female,A000388
389,389,Yashwanth,36,Male,A000389
390,390,Ramesh,73,Male,A000390
391,391,Shankar,59,Male,A000391
392,392,Vikram,48,Male,A000392
393,393,Arun,31,Male,A000393
394,394,Karthik,22,Male,A000394
395,395,Bharath,71,Male,A000395
396,396,Vikram,23,Male,A000396
397,397,Karthik,38,Male,A000397
398,398,Vikram,30,Male,A000398
399,399,Prakash,46,Male,A000399
400,400,Yashwanth,53,Male,A000400
401,401,Vikram,19,Male,A000401
402,402,Prakash,62,Female,A000402
403,403,Imran,48,Male,A000403
404,404,Rahul,39,Male,A000404
405,405,Imran,24,Male,A000405
406,406,Ganesh,38,Male,A000406
407,407,Yashwanth,67,Female,A000407
408,408,Vijay,41,Male,A000408
409,409,Naveen,39,Male,A000409
410,410,Bharath,46,Male,A000410
411,411,Dinesh,69,Male,A000411
412,412,Rahul,55,Male,A000412
413,413,Bharath,40,Male,A000413
414,414,Chandru,64,Male,A000414
415,415,Chandru,69,Male,A000415
416,416,Manoj,69,Female,A000416
417,417,Harish,27,Male,A000417
418,418,Dinesh,73,Male,A000418
419,419,Karthik,35,Female,A000419
420,420,Chandru,23,Male,A000420
421,421,Shankar,36,Male,A000421
422,422,Ramesh,41,Male,A000422
423,423,Dinesh,53,Male,A000423
424,424,Karthik,71,Male,A000424
425,425,Sanjay,32,Male,A000425
426,426,Naveen,25,Female,A000426
427,427,Vijay,48,Male,A000427
428,428,Shankar,75,Female,A000428
429,429,Manoj,53,Female,A000429
430,430,Manoj,58,Male,A000430
431,431,Harish,21,Male,A000431
432,432,Suresh,56,Female,A000432
433,433,Ganesh,46,Male,A000433
434,434,Chandru,18,Female,A000434
435,435,Imran,69,Female,A000435
436,436,Ganesh,43,Male,A000436
437,437,Dinesh,52,Male,A000437
438,438,Naveen,37,Male,A000438
439,439,Rahul,48,Male,A000439
440,440,Manoj,38,Female,A000440
441,441,Ramesh,60,Male,A000441
442,442,Arun,18,Male,A000442
443,443,Yashwanth,37,Male,A000443
444,444,Naveen,37,Male,A000444
445,445,Prakash,55,Female,A000445
446,446,Chandru,62,Female,A000446
447,447,Harish,56,Male,A000447
448,448,Yashwanth,69,Female,A000448
449,449,Yashwanth,63,Male,A000449
450,450,Arun,30,Male,A000450
451,451,Karthik,40,Male,A000451
452,452,Prakash,74,Male,A000452
453,453,Yashwanth,38,Male,A000453
454,454,Vikram,71,Male,A000454
455,455,Dinesh,51,Female,A000455
456,456,Karthik,63,Male,A000456
457,457,Ganesh,44,Male,A000457
458,458,Arun,53,Female,A000458
459,459,Ramesh,54,Male,A000459
460,460,Bharath,70,Male,A000460
461,461,Naveen,57,Male,A000461
462,462,Rohit,41,Male,A000462
463,463,Prakash,46,Male,A000463
464,464,Shankar,52,Male,A000464
465,465,Arun,21,Male,A000465
466,466,Chandru,29,Female,A000466
467,467,Arun,28,Male,A000467
468,468,Prakash,19,Female,A000468
469,469,Harish,74,Female,A000469
470,470,Suresh,41,Female,A000470
471,471,Bharath,40,Male,A000471
472,472,Yashwanth,37,Male,A000472
473,473,Chandru,48,Male,A000473
474,474,Ramesh,73,Male,A000474
475,475,Vikram,52,Female,A000475
476,476,Vikram,65,Male,A000476
477,477,Suresh,57,Male,A000477
478,478,Suresh,70,Female,A000478
479,479,Naveen,68,Male,A000479
480,480,Imran,66,Male,A000480
481,481,Ramesh,46,Male,A000481
482,482,Manoj,20,Male,A000482
483,483,Shankar,43,Male,A000483
484,484,Prakash,68,Female,A000484
485,485,Ramesh,62,Female,A000485
486,486,Vikram,49,Male,A000486
487,487,Imran,64,Male,A000487
488,488,Yashwanth,19,Male,A000488
489,489,Chandru,32,Female,A000489
490,490,Rahul,56,Male,A000490
491,491,Manoj,75,Male,A000491
492,492,Arun,64,Male,A000492
493,493,Imran,30,Male,A000493
494,494,Dinesh,62,Male,A000494
495,495,Harish,60,Male,A000495
496,496,Yashwanth,44,Male,A000496
497,497,Vijay,72,Male,A000497
498,498,Dinesh,47,Female,A000498
499,499,Manoj,23,Male,A000499
500,500,Karthik,44,Male,A000500
501,501,Chandru,24,Male,A000501
502,502,Arun,28,Male,A000502
503,503,Vikram,53,Male,A000503
504,504,Sanjay,49,Male,A000504
505,505,Vikram,25,Male,A000505
506,506,Chandru,32,Male,A000506
507,507,Yashwanth,40,Female,A000507
508,508,Imran,44,Female,A000508
509,509,Vijay,19,Male,A000509
510,510,Suresh,54,Male,A000510
511,511,Manoj,34,Male,A000511
512,512,Naveen,53,Male,A000512
513,513,Ramesh,42,Male,A000513
514,514,Dinesh,26,Male,A000514
515,515,Chandru,54,Male,A000515
516,516,Chandru,30,Male,A000516
517,517,Chandru,25,Male,A000517
518,518,Dinesh,61,Male,A000518
