ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Complainant_000001,50,1,1,3,Female
2,2,Complainant_000002,39,4,4,3,Male
3,3,Complainant_000003,51,3,4,3,Female
4,4,Complainant_000004,22,2,4,1,Female
5,5,Complainant_000005,29,1,3,2,Male
6,6,Complainant_000006,28,1,2,3,Female
7,7,Complainant_000007,80,4,1,1,Female
8,8,Complainant_000008,59,1,2,1,Female
9,9,Complainant_000009,32,3,2,1,Male
10,10,Complainant_000010,21,1,1,1,Male
11,11,Complainant_000011,69,2,2,3,Male
12,12,Complainant_000012,37,1,2,1,Female
13,13,Complainant_000013,45,1,4,2,Female
14,14,Complainant_000014,60,3,3,4,Male
15,15,Complainant_000015,27,2,3,3,Other
16,16,Complainant_000016,35,4,4,4,Female
17,17,Complainant_000017,71,4,4,2,Male
18,18,Complainant_000018,45,1,3,4,Male
19,19,Complainant_000019,70,2,3,2,Male
20,20,Complainant_000020,22,4,4,4,Other
21,21,Complainant_000021,42,4,2,4,Female
22,22,Complainant_000022,19,3,4,3,Female
23,23,Complainant_000023,35,4,4,2,Male
24,24,Complainant_000024,56,2,4,2,Female
25,25,Complainant_000025,19,1,2,1,Male
26,26,Complainant_000026,69,4,3,1,Male
27,27,Complainant_000027,54,2,1,2,Female
28,28,Complainant_000028,36,2,2,2,Female
29,29,Complainant_000029,53,3,4,3,Male
30,30,Complainant_000030,33,4,2,4,Female
31,31,Complainant_000031,24,2,2,2,Male
32,32,Complainant_000032,77,2,3,1,Male
33,33,Complainant_000033,31,1,4,4,Female
34,34,Complainant_000034,76,4,2,1,Male
35,35,Complainant_000035,36,2,1,3,Female
36,36,Complainant_000036,46,2,2,4,Female
37,37,Complainant_000037,48,4,4,3,Female
38,38,Complainant_000038,67,2,2,1,Male
39,39,Complainant_000039,31,2,1,2,Male
40,40,Complainant_000040,39,1,3,4,Female
41,41,Complainant_000041,71,2,4,4,Male
42,42,Complainant_000042,35,4,4,3,Male
43,43,Complainant_000043,67,1,1,3,Female
44,44,Complainant_000044,72,3,2,1,Male
45,45,Complainant_000045,52,3,3,2,Female
46,46,Complainant_000046,77,2,1,2,Female
47,47,Complainant_000047,45,4,1,1,Male
48,48,Complainant_000048,77,3,3,2,Male
49,49,Complainant_000049,33,2,3,3,Female
50,50,Complainant_000050,57,2,3,3,Female
51,51,Complainant_000051,28,3,4,1,Female
52,52,Complainant_000052,48,2,4,1,Male
53,53,Complainant_000053,64,2,2,4,Female
54,54,Complainant_000054,49,3,1,1,Female
55,55,Complainant_000055,48,3,2,3,Female
56,56,Complainant_000056,59,3,4,3,Male
57,57,Complainant_000057,64,4,2,3,Male
58,58,Complainant_000058,58,3,3,1,Female
59,59,Complainant_000059,64,1,3,3,Female
60,60,Complainant_000060,77,4,2,4,Male
61,61,Complainant_000061,36,1,2,2,Male
62,62,Complainant_000062,37,4,3,1,Male
63,63,Complainant_000063,77,4,2,2,Male
64,64,Complainant_000064,59,1,4,3,Female
65,65,Complainant_000065,42,2,4,2,Female
66,66,Complainant_000066,21,2,2,1,Female
67,67,Complainant_000067,75,2,3,4,Female
68,68,Complainant_000068,65,1,4,2,Female
69,69,Complainant_000069,18,2,2,2,Female
70,70,Complainant_000070,80,2,3,1,Female
71,71,Complainant_000071,48,3,1,4,Male
72,72,Complainant_000072,64,1,2,2,Female
73,73,Complainant_000073,41,3,3,2,Female
74,74,Complainant_000074,70,1,1,1,Male
75,75,Complainant_000075,44,3,1,4,Female
76,76,Complainant_000076,42,1,4,3,Male
77,77,Complainant_000077,41,1,1,4,Female
78,78,Complainant_000078,21,3,4,1,Male
79,79,Complainant_000079,52,2,2,2,Male
80,80,Complainant_000080,32,4,4,4,Female
81,81,Complainant_000081,37,2,4,3,Female
82,82,Complainant_000082,50,4,2,4,Female
83,83,Complainant_000083,44,3,1,2,Male
84,84,Complainant_000084,34,2,2,2,Male
85,85,Complainant_000085,19,3,1,1,Male
86,86,Complainant_000086,71,2,4,4,Male
87,87,Complainant_000087,80,1,2,4,Male
88,88,Complainant_000088,51,2,2,1,Male
89,89,Complainant_000089,51,1,2,2,Female
90,90,Complainant_000090,74,1,4,1,Female
91,91,Complainant_000091,77,2,2,2,Male
92,92,Complainant_000092,58,4,1,1,Female
93,93,Complainant_000093,80,3,4,2,Female
94,94,Complainant_000094,74,4,2,4,Female
95,95,Complainant_000095,52,4,4,4,Male
96,96,Complainant_000096,65,1,1,4,Male
97,97,Complainant_000097,20,4,3,4,Male
98,98,Complainant_000098,22,1,3,1,Male
99,99,Complainant_000099,65,2,3,3,Female
100,100,Complainant_000100,30,1,2,4,Male
101,101,Complainant_000101,59,4,3,2,Female
102,102,Complainant_000102,49,2,1,1,Female
103,103,Complainant_000103,80,3,3,4,Female
104,104,Complainant_000104,38,2,4,4,Female
105,105,Complainant_000105,27,4,2,1,Male
106,106,Complainant_000106,62,3,3,2,Male
107,107,Complainant_000107,48,2,1,1,Male
108,108,Complainant_000108,77,1,1,3,Female
109,109,Complainant_000109,64,3,3,1,Male
110,110,Complainant_000110,46,3,1,3,Female
111,111,Complainant_000111,63,3,3,1,Female
112,112,Complainant_000112,51,4,1,3,Male
113,113,Complainant_000113,64,3,2,4,Male
114,114,Complainant_000114,60,4,1,1,Male
115,115,Complainant_000115,49,1,3,3,Female
116,116,Complainant_000116,50,4,1,1,Male
117,117,Complainant_000117,50,1,1,1,Female
118,118,Complainant_000118,47,4,4,1,Female
119,119,Complainant_000119,60,2,1,2,Female
120,120,Complainant_000120,53,4,3,4,Female
121,121,Complainant_000121,76,4,2,2,Female
122,122,Complainant_000122,73,4,3,1,Female
123,123,Complainant_000123,38,1,3,1,Male
124,124,Complainant_000124,79,4,1,2,Female
