VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Deepa,38,Male,0
2,2,Pooja,4,Male,0
3,3,Deepa,54,Male,0
4,4,Pooja,48,Female,0
5,5,Officer_065,45,Male,1
6,6,Deepa,77,Female,0
7,7,Sowmya,48,Male,0
8,8,Anitha,42,Female,1
9,9,Pooja,32,Female,0
10,10,Bhavya,72,Male,0
11,11,Kavya,63,Male,0
12,12,Nagaraj,81,Female,0
13,13,Kavya,55,Male,1
14,14,Lakshmi,61,Female,0
15,15,Deepa,64,Male,0
16,16,Ravi,62,Male,0
17,17,Nagaraj,47,Female,0
18,18,Nagaraj,10,Female,0
19,19,Ravi,69,Female,0
20,20,Pooja,38,Male,0
21,21,Nagaraj,32,Male,0
22,22,Venkatesh,83,Male,0
23,23,Deepa,21,Male,0
24,24,Lakshmi,46,Female,0
25,25,Kavya,37,Female,0
26,26,Nagaraj,20,Female,0
27,27,Anitha,0,Male,1
28,28,Sowmya,1,Male,0
29,29,Sowmya,79,Female,0
30,30,Bhavya,19,Female,0
31,31,Geetha,47,Female,0
32,32,Bhavya,0,Female,0
33,33,Nagaraj,16,Male,0
34,34,Sowmya,56,Male,0
35,35,Bhavya,76,Male,0
36,36,Venkatesh,72,Female,0
37,37,Sowmya,51,Male,0
38,38,Ravi,83,Male,0
39,39,Sowmya,12,Female,0
40,40,Deepa,5,Female,0
41,41,Bhavya,42,Female,0
42,42,Sowmya,79,Male,0
43,43,Manjunath,15,Male,0
44,44,Pooja,11,Female,0
45,45,Deepa,38,Female,0
46,46,Deepa,69,Female,0
47,47,Bhavya,83,Male,0
48,48,Sowmya,76,Female,0
49,49,Manjunath,8,Female,0
50,50,Lakshmi,35,Male,0
51,51,Nagaraj,20,Male,0
52,52,Bhavya,79,Male,0
53,53,Anitha,27,Female,0
54,54,Geetha,18,Male,0
55,55,Pooja,5,Female,0
56,56,Bhavya,39,Female,0
57,57,Pooja,18,Male,0
58,58,Sowmya,75,Male,0
59,59,Bhavya,47,Male,0
60,60,Kavya,39,Female,0
61,61,Nagaraj,33,Male,0
62,62,Lakshmi,20,Male,0
63,63,Deepa,6,Male,0
64,64,Pooja,16,Female,0
65,65,Kavya,73,Female,0
66,66,Deepa,71,Male,0
67,67,Kavya,72,Male,0
68,68,Geetha,1,Female,0
69,69,Pooja,34,Male,0
70,70,Sowmya,15,Male,0
71,71,Lakshmi,26,Female,0
72,72,Deepa,28,Male,0
73,73,Nagaraj,28,Male,0
74,74,Lakshmi,8,Male,0
75,75,Geetha,71,Female,0
76,76,Venkatesh,0,Male,0
77,77,Bhavya,57,Male,0
78,78,Kavya,12,Female,0
79,79,Ravi,19,Male,0
80,80,Ravi,17,Male,0
81,81,Lakshmi,8,Male,0
82,82,Sowmya,29,Male,0
83,83,Ravi,24,Male,0
84,84,Sowmya,29,Male,0
85,85,Lakshmi,63,Female,0
86,86,Ravi,72,Male,0
87,87,Geetha,57,Male,0
88,88,Ravi,0,Female,0
89,89,Geetha,4,Male,0
90,90,Anitha,3,Female,0
91,91,Geetha,37,Female,0
92,92,Geetha,4,Female,0
93,93,Pooja,58,Male,0
94,94,Lakshmi,0,Female,0
